dataset,task,splitter,valid_auroc,valid_f1,valid_r,test_auroc,test_f1,test_r
bace_classification,classification,scaffold,0.656,0.662,0.0,0.668,0.664,0.0,
bace_classification,classification_vec,scaffold,0.663,0.675,0.0,0.669,0.645,0.0,
bbbp,classification,scaffold,0.933,0.936,0.0,0.665,0.657,0.0,
bbbp,classification_vec,scaffold,0.898,0.897,0.0,0.692,0.686,0.0,
clintox,classification,scaffold,0.947,0.899,0.0,0.862,0.838,0.0,
clintox,classification_vec,scaffold,0.599,0.689,0.0,0.5,0.548,0.0,
tox21,classification,scaffold,0.747,0.959,0.0,0.692,0.958,0.0,
tox21,classification_vec,scaffold,0.664,0.969,0.0,0.662,0.968,0.0,
delaney,regression,scaffold,1.419,1.121,0.705,1.51,1.191,0.704,
delaney,regression_vec,scaffold,1.282,1.02,0.79,1.271,0.959,0.838,
bace_regression,regression,scaffold,0.735,0.58,0.382,1.174,0.939,0.739,
bace_regression,regression_vec,scaffold,0.779,0.621,0.335,1.133,0.892,0.763,
lipo,regression,scaffold,1.075,0.846,0.493,1.042,0.824,0.41,
lipo,regression_vec,scaffold,1.01,0.781,0.573,0.915,0.704,0.582,
clearance,regression,scaffold,49.59,38.781,0.429,49.885,38.724,0.443,
clearance,regression_vec,scaffold,48.037,38.971,0.474,51.756,40.683,0.392,
hiv,regression,scaffold,0.138,0.036,0.349,0.17,0.048,0.342,
hiv,regression_vec,scaffold,0.132,0.034,0.261,0.175,0.051,0.327,
